Model,accuracy,precision,recall,f1,specificity,TP,FN,TN,FP
SVM,0.9136,0.27491408934707906,0.9411764705882353,0.425531914893617,0.9126293995859214,80,5,2204,211
RF,0.982,0.8846153846153846,0.5411764705882353,0.6715328467153285,0.9975155279503105,46,39,2409,6
KNN,0.9732,0.75,0.3176470588235294,0.44628099173553715,0.9962732919254659,27,58,2406,9
LR,0.82,0.13572854291417166,0.8,0.23208191126279865,0.820703933747412,68,17,1982,433
GBC,0.9852,0.8870967741935484,0.6470588235294118,0.7482993197278911,0.9971014492753624,55,30,2408,7
