Ensemble Method,accuracy,precision,recall,f1,specificity,fnr,TP,FN,TN,FP
Traditional Voting,0.9832,0.8028169014084507,0.6705882352941176,0.7307692307692307,0.9942028985507246,0.32941176470588235,57,28,2401,14
OR-Logic,0.7992,0.14113597246127366,0.9647058823529412,0.24624624624624628,0.7933747412008282,0.03529411764705882,82,3,1916,499
