Model,Accuracy_Original,Recall_Original,Accuracy_Modified,Recall_Modified,Accuracy_Delta_pp,Recall_Delta_pp
SVM,0.9136,0.9411764705882353,0.922,0.9411764705882353,0.8400000000000074,0.0
RF,0.982,0.5411764705882353,0.9872,0.6823529411764706,0.5199999999999982,14.117647058823534
KNN,0.9732,0.3176470588235294,0.976,0.4,0.28000000000000247,8.235294117647063
LR,0.82,0.8,0.854,0.8235294117647058,3.400000000000003,2.35294117647058
GBC,0.9852,0.6470588235294118,0.9892,0.8,0.40000000000000036,15.294117647058824
