Model,accuracy,precision,recall,f1,specificity,mcc,fnr,fpr,TP,FN,TN,FP
SVM,0.922,0.2962962962962963,0.9411764705882353,0.45070422535211263,0.9213250517598344,0.5036091209520253,0.058823529411764705,0.07867494824016563,80,5,2225,190
RF,0.9872,0.9206349206349206,0.6823529411764706,0.7837837837837838,0.9979296066252588,0.7866097418061234,0.3176470588235294,0.002070393374741201,58,27,2410,5
KNN,0.976,0.7906976744186046,0.4,0.53125,0.9962732919254659,0.5523648408558612,0.6,0.0037267080745341614,34,51,2406,9
LR,0.854,0.16666666666666666,0.8235294117647058,0.2772277227722772,0.855072463768116,0.3289476387866716,0.17647058823529413,0.14492753623188406,70,15,2065,350
GBC,0.9892,0.8717948717948718,0.8,0.834355828220859,0.9958592132505176,0.8296022244904018,0.2,0.004140786749482402,68,17,2405,10
Traditional Voting,0.9864,0.8072289156626506,0.788235294117647,0.7976190476190476,0.9933747412008281,0.7906436472878531,0.21176470588235294,0.006625258799171843,67,18,2399,16
OR-Logic,0.8312,0.1623246492985972,0.9529411764705882,0.2773972602739726,0.8269151138716356,0.35359718002124835,0.047058823529411764,0.1730848861283644,81,4,1997,418
