Comparison,Accuracy_Delta_pp,Recall_Delta_pp,FN_Rate_Delta_pp
OR-Logic vs. Best Baseline,-8.239999999999991,1.17647058823529,-1.1764705882352942
OR-Logic vs. Best Individual (modified),-9.079999999999998,1.17647058823529,-1.1764705882352942
OR-Logic vs. Traditional Voting,-15.52,16.470588235294116,-16.470588235294116
