model_or_ensemble,metric,n_seeds,mean,std,ci_low,ci_high
MLP,recall,30,0.4811764705882353,0.12615674063344576,0.2358823529411765,0.6835294117647058
MLP,precision,30,0.7761348269185201,0.058029663413408095,0.6890776247207744,0.8818679245283019
MLP,specificity,30,0.9950862663906144,0.0020909476844041814,0.9908488612836439,0.9978571428571428
MLP,fnr,30,0.5188235294117648,0.12615674063344576,0.3164705882352941,0.7641176470588232
MLP,mcc,30,0.594825056191561,0.09871620057304532,0.383401655246083,0.7116374829855434
