feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,mcc,auc
modified,MLP,2500,42,43,2404,11,0.9784,0.7924528301886793,0.49411764705882355,0.6086956521739131,0.9954451345755694,0.5058823529411764,0.6159160262363639,0.9768213372305443
modified,GBC,2500,68,17,2405,10,0.9892,0.8717948717948718,0.8,0.834355828220859,0.9958592132505176,0.2,0.8296022244904018,0.9763414931189868
modified,OR-Logic,2500,68,17,2387,28,0.982,0.7083333333333334,0.8,0.7513812154696135,0.9884057971014492,0.2,0.743558240690685,0.8979539641943733
