Approach,Accuracy,Recall,FN_Rate
"Best Baseline (GBC, original)",0.9852,0.6470588235294118,0.35294117647058826
"Best Individual (GBC, modified)",0.9892,0.8,0.2
Traditional Voting (modified),0.9828,0.5176470588235295,0.4823529411764706
Proposed OR-Logic (modified),0.982,0.8,0.2
