Ensemble Method,accuracy,precision,recall,f1,specificity,fnr,TP,FN,TN,FP
Traditional Voting,0.9752,0.8484848484848485,0.32941176470588235,0.47457627118644063,0.9979296066252588,0.6705882352941176,28,57,2410,5
OR-Logic,0.9824,0.7530864197530864,0.7176470588235294,0.7349397590361447,0.9917184265010351,0.2823529411764706,61,24,2395,20
