Model,Accuracy_Original,Recall_Original,Accuracy_Modified,Recall_Modified,Accuracy_Delta_pp,Recall_Delta_pp
SVM,0.972,0.2235294117647059,0.9756,0.3176470588235294,0.36000000000000476,9.41176470588235
RF,0.984,0.6352941176470588,0.99,0.7764705882352941,0.6000000000000005,14.117647058823534
KNN,0.9732,0.3176470588235294,0.976,0.4,0.28000000000000247,8.235294117647063
LR,0.9696,0.16470588235294117,0.9688,0.2235294117647059,-0.08000000000000229,5.882352941176472
GBC,0.9852,0.6470588235294118,0.9892,0.8,0.40000000000000036,15.294117647058824
