Model,accuracy,precision,recall,f1,specificity,TP,FN,TN,FP
SVM,0.972,0.8260869565217391,0.2235294117647059,0.35185185185185186,0.998343685300207,19,66,2411,4
RF,0.984,0.8571428571428571,0.6352941176470588,0.7297297297297296,0.9962732919254659,54,31,2406,9
KNN,0.9732,0.75,0.3176470588235294,0.44628099173553715,0.9962732919254659,27,58,2406,9
LR,0.9696,0.7368421052631579,0.16470588235294117,0.2692307692307692,0.9979296066252588,14,71,2410,5
GBC,0.9852,0.8870967741935484,0.6470588235294118,0.7482993197278911,0.9971014492753624,55,30,2408,7
