rho,rule,recall_mean,recall_std,specificity_mean,specificity_std
0.0,OR-logic,0.9773066951185843,0.007683504999534108,0.9859427239774355,0.00259995488691659
0.0,Majority (>=3),0.460981310366828,0.039551585863741974,1.0,0.0
0.1,OR-logic,0.9625363502253931,0.010922268441994886,0.9850665571816339,0.0024236977385009083
0.1,Majority (>=3),0.46393993646357606,0.03969996847483099,0.9999987045289668,8.193278215786705e-06
0.2,OR-logic,0.9466682651881682,0.01462651951626444,0.9864627963379611,0.002487522400038
0.2,Majority (>=3),0.46819828237981503,0.03692447394199347,0.999989645733832,2.0972373234459257e-05
0.3,OR-logic,0.928890110329505,0.01384232373267244,0.9861434616269829,0.00213961930734274
0.3,Majority (>=3),0.4661581584525013,0.04063235397480171,0.9999676478636165,4.6429898741413755e-05
0.4,OR-logic,0.9103150067517657,0.019864213453351254,0.986271773005335,0.0020231186078962836
0.4,Majority (>=3),0.46586508101566704,0.03531918521928999,0.999873241313059,8.68527545463994e-05
0.5,OR-logic,0.8943272550996235,0.024760476843012334,0.9870518158044904,0.0020513400696098374
0.5,Majority (>=3),0.466929730648316,0.03184061178318284,0.9997296157541463,0.00014836038629612928
0.6,OR-logic,0.8632933668054015,0.026328586640658597,0.9882909674800286,0.00187442785221934
0.6,Majority (>=3),0.46259910725523934,0.03249322266118562,0.9994967663904457,0.00021723835887652712
0.7,OR-logic,0.8464015482312124,0.026453137072162028,0.9894714310116832,0.0016405379471234026
0.7,Majority (>=3),0.45788686502396614,0.03225340844966964,0.9991226946478708,0.00024961060743000803
0.8,OR-logic,0.8295053504140004,0.029683764766436128,0.9905357408285539,0.0014247965472045476
0.8,Majority (>=3),0.45586213834748984,0.043173164907762455,0.998659821878962,0.0003158270552197038
