model_or_ensemble,fit_time_s_mean,fit_time_s_std,predict_time_total_s_mean,predict_time_total_s_std,per_sample_latency_us_mean,per_sample_latency_us_std,model_size_kb,n_test,note
SVM,0.4398964581989276,0.005065621972732328,0.02736725979993935,0.0007093303181819395,10.94690391997574,0.28373212727277586,48.2001953125,2500,
RF,0.9275230313993233,0.007319114395939679,0.010075111698824912,0.00022706582495567239,4.030044679529965,0.09082632998226896,1575.580078125,2500,
KNN,0.006433050700434251,0.00039173163361706656,0.05389040059963009,0.0004948027511657359,21.556160239852037,0.19792110046629435,1218.1875,2500,
LR,0.015202258199860808,0.0025050501114476436,0.0011746961994504091,9.593716039569676e-05,0.4698784797801636,0.03837486415827871,1.9853515625,2500,
GBC,1.1584726232998945,0.024291594801978393,0.0017468248996010515,9.682388836611599e-05,0.6987299598404206,0.03872955534644639,136.6884765625,2500,
Traditional Voting,2.5475274217984403,,0.09512201669713251,,38.048806678853,,2980.6416015625,2500,= sum of 5 member predict times (94.254ms) + aggregation (0.8677ms)
OR-Logic,2.5475274217984403,,0.09512201669713251,,38.048806678853,,2980.6416015625,2500,= sum of 5 member predict times (94.254ms) + aggregation (0.8677ms)
